"id","name","name@pl","description","invoice_label","amount","amount_type","type_tax_use","sequence","tax_group_id","tax_scope","active","price_include_override","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent"
,,,,,,,,,,,,,"tax","refund","trilab_jpk_vat.pl_jpk_K_46","chart22102","100"
"vat_z_5_towary_poz_brutto","VAT Z 5 T (gross)","VAT Z 5 T (brutto)",,"5%","5","percent","purchase","133","tax_group_vat_5","consu","1","tax_included","base","invoice","trilab_jpk_vat.pl_jpk_K_45",,
,,,,,,,,,,,,,"tax","invoice","trilab_jpk_vat.pl_jpk_K_46","chart22102","100"
,,,,,,,,,,,,"tax_included","base","refund","trilab_jpk_vat.pl_jpk_K_45",,
,,,,,,,,,,,,,"tax","refund","trilab_jpk_vat.pl_jpk_K_46","chart22102","100"
"vat_z_23_KSO_0,5","VAT Z 23 KSO 0,5","VAT Z 23 KSO 0,5",,"23%","146","percent","purchase","134","tax_group_vat_23","consu","1",,"base","invoice","trilab_jpk_vat.pl_jpk_K_45",,
,,,,,,,,,,,,,"tax","invoice","trilab_jpk_vat.pl_jpk_K_46","chart22102","15.7534246575342"
,,,,,,,,,,,,,"tax","invoice",trilab_jpk_vat.pl_jpk_dodaj_NKUP,,"38.1849315068493"
,,,,,,,,,,,,,"tax","invoice",,,"46.0616438356164"
,,,,,,,,,,,,,"base","refund","trilab_jpk_vat.pl_jpk_K_45",,
,,,,,,,,,,,,,"tax","refund","trilab_jpk_vat.pl_jpk_K_46","chart22102","15.7534246575342"
,,,,,,,,,,,,,"tax","refund",trilab_jpk_vat.pl_jpk_dodaj_NKUP,,"38.1849315068493"
,,,,,,,,,,,,,"tax","refund",,,"46.0616438356164"
"vat_s_8_towary","VAT S 8 T","VAT S 8 T",,"8%","8","percent","sale","200","tax_group_vat_8","consu","1",,"base","invoice","trilab_jpk_vat.pl_jpk_K_17",,
,,,,,,,,,,,,,"tax","invoice","trilab_jpk_vat.pl_jpk_K_18","chart22101","100"
,,,,,,,,,,,,,"base","refund","trilab_jpk_vat.pl_jpk_K_17",,
,,,,,,,,,,,,,"tax","refund","trilab_jpk_vat.pl_jpk_K_18","chart22101","100"
"vat_s_5_towary","VAT S 5 T","VAT S 5 T",,"5%","5","percent","sale","201","tax_group_vat_5","consu","1",,"base","invoice","trilab_jpk_vat.pl_jpk_K_15",,
,,,,,,,,,,,,,"tax","invoice","trilab_jpk_vat.pl_jpk_K_16","chart22101","100"
,,,,,,,,,,,,,"base","refund","trilab_jpk_vat.pl_jpk_K_15",,
,,,,,,,,,,,,,"tax","refund","trilab_jpk_vat.pl_jpk_K_16","chart22101","100"
"vat_s_0_towary","VAT S 0 T","VAT S 0 T",,"0%","0","percent","sale","202","tax_group_vat_0","consu","1",,"base","invoice","trilab_jpk_vat.pl_jpk_K_13",,
,,,,,,,,,,,,,"tax","invoice",,"chart22101","100"
,,,,,,,,,,,,,"base","refund","trilab_jpk_vat.pl_jpk_K_13",,
,,,,,,,,,,,,,"tax","refund",,"chart22101","100"
"vat_s_zw_towary","VAT S ZW T","VAT S ZW T",,"ZW","0","percent","sale","203","tax_group_vat_zw","consu","1",,"base","invoice","trilab_jpk_vat.pl_jpk_K_10",,
,,,,,,,,,,,,,"tax","invoice",,"chart22101","100"
,,,,,,,,,,,,,"base","refund","trilab_jpk_vat.pl_jpk_K_10",,
,,,,,,,,,,,,,"tax","refund",,"chart22101","100"
"ue_s_towary","EU S T","UE S T",,"UEST","0","percent","sale","204","tax_group_vat_0","consu","1",,"base","invoice","trilab_jpk_vat.pl_jpk_K_21",,
,,,,,,,,,,,,,"tax","invoice",,"chart22101","100"
,,,,,,,,,,,,,"base","refund","trilab_jpk_vat.pl_jpk_K_21",,
,,,,,,,,,,,,,"tax","refund",,"chart22101","100"
"ue_s_uslugi","EU S U","UE S U",,"UESU","0","percent","sale","205","tax_group_vat_0","service","1",,"base","invoice","trilab_jpk_vat.pl_jpk_K_11||trilab_jpk_vat.pl_jpk_K_12",,
,,,,,,,,,,,,,"tax","invoice",,"chart22101","100"
,,,,,,,,,,,,,"base","refund","trilab_jpk_vat.pl_jpk_K_11||trilab_jpk_vat.pl_jpk_K_12",,
,,,,,,,,,,,,,"tax","refund",,"chart22101","100"
"ex_s_towary","EX T","EX T",,"EXT","0","percent","sale","206","tax_group_vat_0","consu","1",,"base","invoice","trilab_jpk_vat.pl_jpk_K_22",,
,,,,,,,,,,,,,"tax","invoice",,"chart22101","100"
,,,,,,,,,,,,,"base","refund","trilab_jpk_vat.pl_jpk_K_22",,
,,,,,,,,,,,,,"tax","refund",,"chart22101","100"
"ex_s_uslugi","EX U","EX U",,"EXU","0","percent","sale","207","tax_group_vat_0","service","1",,"base","invoice","trilab_jpk_vat.pl_jpk_K_11",,
,,,,,,,,,,,,,"tax","invoice",,"chart22101","100"
,,,,,,,,,,,,,"base","refund","trilab_jpk_vat.pl_jpk_K_11",,
,,,,,,,,,,,,,"tax","refund",,"chart22101","100"
"vat_s_23_uslugi_brutto","VAT S 23 U (gross)","VAT S 23 U (brutto)",,"23%","23","percent","sale","208","tax_group_vat_23","service","1","tax_included","base","invoice","trilab_jpk_vat.pl_jpk_K_19",,
,,,,,,,,,,,,,"tax","invoice","trilab_jpk_vat.pl_jpk_K_20","chart22101","100"
,,,,,,,,,,,,"tax_included","base","refund","trilab_jpk_vat.pl_jpk_K_19",,
,,,,,,,,,,,,,"tax","refund","trilab_jpk_vat.pl_jpk_K_20","chart22101","100"
"vat_s_23_towary_brutto","VAT S 23 T (gross)","VAT S 23 T (brutto)",,"23%","23","percent","sale","209","tax_group_vat_23","consu","1","tax_included","base","invoice","trilab_jpk_vat.pl_jpk_K_19",,
,,,,,,,,,,,,,"tax","invoice","trilab_jpk_vat.pl_jpk_K_20","chart22101","100"
,,,,,,,,,,,,"tax_included","base","refund","trilab_jpk_vat.pl_jpk_K_19",,
,,,,,,,,,,,,,"tax","refund","trilab_jpk_vat.pl_jpk_K_20","chart22101","100"
