"id","code","name","name@pl","account_type","reconcile","tag_ids"
"chart75091","750.91","Income from financial operations Other",Przychody z operacji finansowych pozostałe,"income_other","False","trilab_pl_reports.RZiSPor_G_V_poz,trilab_pl_reports.RZiSKalk_J_V_poz"
"chart75111","751.11","Costs from financial operations Budgetary interest",Koszty z operacji finansowych odsetki budżetowe,"expense","False","trilab_pl_reports.RZiSPor_H_I,trilab_pl_reports.RZiSKalk_K_I"
"chart75112","751.12","Costs from financial operations Other interest",Koszty z operacji finansowych odsetki pozostałe,"expense","False","trilab_pl_reports.RZiSPor_H_I,trilab_pl_reports.RZiSKalk_K_I"
"chart75121","751.21","Costs from financial operations Loss on outflow of assets",Koszty z operacji finansowych strata z rozchodu aktywów,"expense","False","trilab_pl_reports.RZiSPor_H_II,trilab_pl_reports.RZiSKalk_K_II,trilab_pl_reports.RZiSPor_G_III,trilab_pl_reports.RZiSKalk_J_III"
"chart75131","751.31","Costs from financial operations Exchange rate differences Realized",Koszty z operacji finansowych różnice kursowe zrealizowane,"expense","False","trilab_pl_reports.RZiSPor_G_V_rk,trilab_pl_reports.RZiSKalk_J_V_rk,trilab_pl_reports.RZiSPor_H_IV_rk,trilab_pl_reports.RZiSKalk_K_IV_rk"
"chart75132","751.32","Costs from financial operations Exchange rate differences Balance sheet",Koszty z operacji finansowych różnice kursowe bilansowe,"expense","False","trilab_pl_reports.RZiSPor_G_V_rk,trilab_pl_reports.RZiSKalk_J_V_rk,trilab_pl_reports.RZiSPor_H_IV_rk,trilab_pl_reports.RZiSKalk_K_IV_rk"
"chart75191","751.91","Costs from financial operations Other",Koszty z operacji finansowych pozostałe,"expense","False","trilab_pl_reports.RZiSPor_H_IV_poz,trilab_pl_reports.RZiSKalk_K_IV_poz"
"chart76001","760.01","Other operating income Grants",Pozostałe przychody operacyjne dotacje,"income_other","False","trilab_pl_reports.RZiSPor_D_II,trilab_pl_reports.RZiSKalk_G_II"
"chart76002","760.02","Other operating income Gain on disposal of non-financial fixed assets",Pozostałe przychody operacyjne zysk z rozchodu niefinansowych aktywów trwałych,"income_other","False","trilab_pl_reports.RZiSPor_D_I,trilab_pl_reports.RZiSKalk_G_I,trilab_pl_reports.RZiSPor_E_I,trilab_pl_reports.RZiSKalk_H_I"
"chart76003","760.03","Other operating income Revaluation of non-financial assets",Pozostałe przychody operacyjne aktualizacja wartości aktywów niefinansowych,"income_other","False","trilab_pl_reports.RZiSPor_D_III,trilab_pl_reports.RZiSKalk_G_III"
"chart76004","760.04","Other operating income Rounding differences",Pozostałe przychody operacyjne różnice zaokrągleń,"income_other","False","trilab_pl_reports.RZiSPor_D_IV,trilab_pl_reports.RZiSKalk_G_IV"
"chart76005","760.05","Other operating income Settlement of inventory",Pozostałe przychody operacyjne rozliczenie inwentaryzacji,"income_other","False","trilab_pl_reports.RZiSPor_D_IV,trilab_pl_reports.RZiSKalk_G_IV"
"chart76099","760.99","Other operating income Other",Pozostałe przychody operacyjne inne,"income_other","False","trilab_pl_reports.RZiSPor_D_IV,trilab_pl_reports.RZiSKalk_G_IV"
"chart76102","761.02","Other operating expenses Loss on disposal of nonfinancial fixed assets",Pozostałe koszty operacyjne strata z rozchodu niefinansowych aktywów trwałych,"expense","False","trilab_pl_reports.RZiSPor_E_I,trilab_pl_reports.RZiSKalk_H_I,trilab_pl_reports.RZiSPor_D_I,trilab_pl_reports.RZiSKalk_G_I"
"chart76103","761.03","Other operating expenses Revaluation of non-financial assets",Pozostałe koszty operacyjne aktualizacja wartości aktywów niefinansowych,"expense","False","trilab_pl_reports.RZiSPor_E_II,trilab_pl_reports.RZiSKalk_H_II"
"chart76104","761.04","Other operating expenses Rounding differences",Pozostałe koszty operacyjne różnice zaokrągleń,"expense","False","trilab_pl_reports.RZiSPor_E_III,trilab_pl_reports.RZiSKalk_H_III"
